time,open,high,low,close,Volume,Volume MA,ParabolicSAR,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Basis,Upper,Lower,EMA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Histogram,MACD,Signal,%K,%D,MOM,Accumulation/Distribution,ATR,Bollinger Bands Width
2020-12-07T00:00:00Z,19385.13,19431,18905,19173.5,4323.27044132,8472.99447822957,17078.879396844903,18726.44,17699.504999999997,29402.64,14403.41,13254.145,14403.41,13254.145,18576.038499999995,20015.378890905547,17136.698109094443,18966.180632024436,18819.992818658855,19080.95555555555,18717.602666666662,4323.27044132,8472.99447822957,60.6425862085627,63.986928614213426,NaN,NaN,50,-83.71923834041206,897.6908002953569,981.410038635769,79.87816249145276,81.64158114887984,2019.1100000000006,4203836.38420908,964.9895530560653,0.1549674211652342
2020-12-08T00:00:00Z,19183.13,19300.55,18163.52,18316.43,5979.96623279,7995.69933152557,17192.444620971106,19009.004999999997,17816.555,32216.53,14624.745,13316.41,14624.745,13316.41,18602.562499999993,20001.675796940806,17203.44920305918,18836.230505619547,18844.25145492708,19094.777777777774,18844.84044444444,5979.96623279,7995.69933152557,53.3146275506612,61.97483341623577,NaN,NaN,50,-151.79420318841392,791.6672846502515,943.4614878386654,56.714171042781,74.0224125520382,574.6399999999994,4199464.812894024,977.2781564092035,0.15042156659232447
2020-12-09T00:00:00Z,18311.31,18654.92,17640.33,18556.64,8906.94524733,7915.711770784571,17301.467236132263,18779.17,17816.555,33097.83,14755.01,13343.86,14755.01,13343.86,18639.120999999992,19992.568134718396,17285.673865281587,18780.31240449564,18858.97356394167,18967.71666666666,18947.969777777773,8906.94524733,7915.711770784571,54.95743945073927,60.58168423383802,NaN,NaN,50,-179.77668663279178,718.7406295476758,898.5173161804676,63.20631565860634,66.5995497309467,364.6100000000006,4206646.185094295,979.9432880942602,0.1452264980433793
2020-12-10T00:00:00Z,18546.38,18562.13,17908,18250.3,6784.45549144,7753.933869693571,17406.12894668697,18630.665,17852.235,32005.88,14809.785,13437.26,14809.785,13437.26,18617.25349999999,19980.951317514035,17253.55568248595,18674.30992359651,18834.276851153332,18909.813333333328,18995.027999999995,6784.45549144,7753.933869693571,52.42386674679332,60.358932715449164,NaN,NaN,50,-215.63288815842589,628.9762059824352,844.6090941408611,52.112251402711806,57.34424603469972,-1449.8899999999994,4206962.211509265,956.6709103732417,0.14649828101809362
2020-12-11T00:00:00Z,18250.3,18290.43,17569.58,18040.02,6687.92267389,7791.385503778571,17506.604188819492,18595.29,17896.754999999997,34039.05,15300.945,13637.465,15300.945,13637.465,18583.004499999992,19968.391667018834,17197.61733298115,18547.451938877206,18760.897080922667,18777.976666666666,18966.247999999992,6687.92267389,7791.385503778571,50.69619515971417,60.0167074947809,NaN,NaN,50,-247.92274654809955,534.7056609557367,782.6284075038362,38.28491620111738,51.20116108747853,-731.4099999999999,4209003.612114018,939.8265596322957,0.1491026025440442
2020-12-12T00:00:00Z,18031.23,18956.46,18022.55,18815.63,3515.32704607,7646.290970215069,17569.58,18561.04,18068.004999999997,36849.94,15822.619999999999,14124,15822.619999999999,14124,18602.02599999999,19989.2188572832,17214.833142716783,18601.087551101766,18687.878464738133,18707.668888888886,18891.590666666663,3515.32704607,7646.290970215069,56.40330024696684,59.76711289168359,NaN,NaN,50,-212.8023397482565,516.6254828185156,729.4278225667721,53.74254135300496,48.046569652278066,-410.91999999999825,4211458.743835275,939.4039482299888,0.1491442767882604
2020-12-13T00:00:00Z,18806.83,19416.64,18628.1,19162.36,4251.96121032,7388.284669639569,17569.58,18500.29,18068.004999999997,39510.49,16207.9925,14431.5,16207.9925,14431.5,18640.976499999993,20045.06569133079,17236.887308669196,18713.342040881413,18663.300771790506,18761.957777777778,18825.02666666666,4251.96121032,7388.284669639569,58.704583051433076,59.46533575112286,NaN,NaN,50,-164.15665451999735,524.2320044167755,688.3886589367728,67.82318399952314,53.2835471845485,-286.0400000000009,4212968.450507943,928.6279519278469,0.15064545479479546
2020-12-14T00:00:00Z,19151.82,19346.9,18979.21,19274.33,3618.37690457,6906.143566094569,17663.517200000002,18500.29,18068.004999999997,40667.07,16257.5875,14431.5,16257.5875,14431.5,18646.650499999996,20059.98390726793,17233.31709273206,18825.53963270513,18672.3462174324,18774.42111111111,18786.367555555553,3618.37690457,6906.143566094569,59.44899433746825,58.649329391042514,NaN,NaN,50,-124.1913625405466,533.1494557610895,657.3408183016361,72.59105019097876,64.71892518116897,600.5700000000033,4215158.528508737,888.5609553615723,0.15159112970642483
2020-12-15T00:00:00Z,19274.33,19567.84,19050,19434.87,6750.77219425,6795.551063056568,17753.696912000003,18568.71,18068.004999999997,40239.06,16476.065000000002,14602.44,16476.065000000002,14602.44,18681.7725,20136.201416130047,17227.34358386995,18947.405706164103,18726.965373945925,18780.45333333333,18760.495555555553,6750.77219425,6795.551063056568,60.54712990892442,58.54166622825778,NaN,NaN,50,-88.37913835917698,546.8668953526649,635.2460337118418,90.92677267453757,77.11366895501318,272.7099999999991,4218442.399039657,862.08088712146,0.1557056661652472
2020-12-16T00:00:00Z,19434.55,21576.76,19277.66,21365.7,14974.62184371,6473.032827404068,17840.269435520004,19573.17,18897.379999999997,38173.73,16640.275,14678.5,16640.275,14678.5,18892.052999999996,20599.706874836727,17184.399125163265,19431.064564931283,18903.68789915674,19024.031111111108,18809.706444444437,14974.62184371,6473.032827404068,70.79191542959543,58.99876377170911,NaN,NaN,50,56.129893429519825,705.4084004987417,649.2785070692219,94.73295434694728,86.08359240415456,1985.119999999999,4230667.646183412,964.725109469927,0.18078012747865269
